question_id,record_id,regex_passed,regex_signals,agent_decision,kept
HRS1_PERIOPERATIVE,pubmed:20301300,true,exposure|population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:20301352,true,exposure|population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:20301427,false,exposure|population,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:20301428,true,exposure|population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:20301523,false,exposure|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:20301543,false,exposure,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:20301578,true,exposure|population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:20301613,true,exposure|population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:20301722,true,exposure|population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:20301765,true,exposure|population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:26247088,false,exposure|population,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:28771291,true,exposure|population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:30000845,false,exposure|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:30000923,false,exposure|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:30422554,false,exposure,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:30570992,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:30860735,false,exposure|population,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:31364414,false,outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:31919102,false,outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:32105133,false,,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:32390696,false,,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:32393075,false,,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:32478626,false,population,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:32568817,false,exposure|population,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:32691284,false,,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:32691285,false,outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:32762264,true,exposure|population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:32781911,true,exposure|population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:32888828,false,population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:32935643,false,population,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:32965816,false,population,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:32965866,true,exposure|population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:32990762,false,population,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:33010179,false,population,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:33021547,false,,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:33143445,false,exposure,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:33143761,false,exposure|population,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:33167730,false,exposure|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:33239324,false,population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:33245709,true,exposure|population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:33247374,false,exposure|population,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:33250398,false,population,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:33256427,false,population,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:33267590,false,population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:33270879,false,exposure|population,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:33277203,false,,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:33306494,false,,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:33326351,false,,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:33342276,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:33349544,false,population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:33356609,true,exposure|population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:33371722,false,population,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:33420580,false,population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:33432829,false,exposure|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:33433071,false,population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:33434654,false,exposure|population,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:33450748,true,exposure|population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:33468367,false,exposure,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:33538844,false,population,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:33544063,false,population,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:33547191,false,population,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:33560105,false,population,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:33560170,false,exposure|population,deprioritize,false
