record_id,kmid,title,normalized_title,url,source_status,human_eligibility_decision
REC-KOREAMED-2434954,2434954,Adaptation of New Oral Anticoagulants for Warfarin Anticoagulated Patient with Traumatic Ongoing Hemorrhage,adaptation of new oral anticoagulants for warfarin anticoagulated patient with traumatic ongoing hemorrhage,https://www.koreamed.org/SearchBasic.php?RID=2434954,design_pilot_complete_display_native_export_server_error_not_final_search,
REC-KOREAMED-2223678,2223678,Paradoxical Procoagulant Effect of Early Doses of Warfarin: Possible Role of Non-Vitamin K Oral Anticoagulant in Patients with Atrial Fibrillation-Related Stroke,paradoxical procoagulant effect of early doses of warfarin possible role of non vitamin k oral anticoagulant in patients with atrial fibrillation related stroke,https://www.koreamed.org/SearchBasic.php?RID=2223678,design_pilot_complete_display_native_export_server_error_not_final_search,
REC-KOREAMED-2192901,2192901,New oral anticoagulants,new oral anticoagulants,https://www.koreamed.org/SearchBasic.php?RID=2192901,design_pilot_complete_display_native_export_server_error_not_final_search,
REC-KOREAMED-2263729,2263729,Anticoagulation in Atrial Fibrillation,anticoagulation in atrial fibrillation,https://www.koreamed.org/SearchBasic.php?RID=2263729,design_pilot_complete_display_native_export_server_error_not_final_search,
REC-KOREAMED-2386080,2386080,Association Between Usual Vitamin K Intake and Anticoagulation in Patients Under Warfarin Therapy,association between usual vitamin k intake and anticoagulation in patients under warfarin therapy,https://www.koreamed.org/SearchBasic.php?RID=2386080,design_pilot_complete_display_native_export_server_error_not_final_search,
REC-KOREAMED-2383663,2383663,CYP2C9 Mutation Affecting the Individual Variability of Warfarin Dose Requirement,cyp2c9 mutation affecting the individual variability of warfarin dose requirement,https://www.koreamed.org/SearchBasic.php?RID=2383663,design_pilot_complete_display_native_export_server_error_not_final_search,
REC-KOREAMED-2378089,2378089,Rivaroxaban for Thromboprophylaxis in Patients with Antiphospholipid Syndrome,rivaroxaban for thromboprophylaxis in patients with antiphospholipid syndrome,https://www.koreamed.org/SearchBasic.php?RID=2378089,design_pilot_complete_display_native_export_server_error_not_final_search,
REC-KOREAMED-2100703,2100703,Warfarin Toxicity Patients in the Emergency Department,warfarin toxicity patients in the emergency department,https://www.koreamed.org/SearchBasic.php?RID=2100703,design_pilot_complete_display_native_export_server_error_not_final_search,
REC-KOREAMED-2252175,2252175,A Case of Superwarfarin Intoxication without a Definitive History of Brodifacoum Exposure,a case of superwarfarin intoxication without a definitive history of brodifacoum exposure,https://www.koreamed.org/SearchBasic.php?RID=2252175,design_pilot_complete_display_native_export_server_error_not_final_search,
REC-KOREAMED-2267834,2267834,"A Case of Warfarin-Induced Bleeding in a Patient with CYP2C9 and VKORC1 Gene Polymorphism, Detected by a Point-of-Care Gene Test Device",a case of warfarin induced bleeding in a patient with cyp2c9 and vkorc1 gene polymorphism detected by a point of care gene test device,https://www.koreamed.org/SearchBasic.php?RID=2267834,design_pilot_complete_display_native_export_server_error_not_final_search,
